fileID	Analysis round	Database	Kr2 confidence	Senterica reads in library	S.ent reads correctly IDed	S.ent reads assigned higher	Unclassified	S.ent reads incorrectly assigned	Tot reads IDed as Salm	False positives	Hits to SSRs	S.ent hits to SSRs	SSRs False Pos	Recall_Kr2	Recall_SSRs	Precision Kr2	Precision SSRs
salm5rep12_kr2bac_c0.25	Round3	kr2bac	c0.25	5	5	0	0	0	5	0	1	1	0	1.0	0.2	1.0	1.0
salm5rep4_kr2bac_c0.25	Round3	kr2bac	c0.25	5	5	0	0	0	5	0	1	1	0	1.0	0.2	1.0	1.0
salm50rep5_kr2bac_c0.25	Round3	kr2bac	c0.25	50	49	1	0	0	49	0	5	5	0	0.98	0.1	1.0	1.0
salm10rep1_kr2bac_c0.25	Round3	kr2bac	c0.25	10	10	0	0	0	10	0	0	0	0	1.0	0.0	1.0	0.0
salm10rep13_kr2bac_c0.25	Round3	kr2bac	c0.25	10	10	0	0	0	10	0	0	0	0	1.0	0.0	1.0	0.0
salm50rep14_kr2bac_c0.25	Round3	kr2bac	c0.25	50	46	4	0	0	46	0	5	5	0	0.92	0.1	1.0	1.0
salm5rep20_kr2bac_c0.25	Round3	kr2bac	c0.25	5	5	0	0	0	5	0	1	1	0	1.0	0.2	1.0	1.0
salm50rep7_kr2bac_c0.25	Round3	kr2bac	c0.25	50	47	3	0	0	47	0	4	4	0	0.94	0.08	1.0	1.0
salm50rep8_kr2bac_c0.25	Round3	kr2bac	c0.25	50	47	3	0	0	47	0	6	6	0	0.94	0.12	1.0	1.0
salm10rep11_kr2bac_c0.25	Round3	kr2bac	c0.25	10	9	1	0	0	9	0	0	0	0	0.9	0.0	1.0	0.0
salm50rep16_kr2bac_c0.25	Round3	kr2bac	c0.25	50	44	6	0	0	44	0	0	0	0	0.88	0.0	1.0	0.0
salm50rep19_kr2bac_c0.25	Round3	kr2bac	c0.25	50	46	4	0	0	46	0	3	3	0	0.92	0.06	1.0	1.0
salm10rep3_kr2bac_c0.25	Round3	kr2bac	c0.25	10	10	0	0	0	10	0	1	1	0	1.0	0.1	1.0	1.0
salm5rep10_kr2bac_c0.25	Round3	kr2bac	c0.25	5	5	0	0	0	5	0	1	1	0	1.0	0.2	1.0	1.0
salm5rep6_kr2bac_c0.25	Round3	kr2bac	c0.25	5	5	0	0	0	5	0	0	0	0	1.0	0.0	1.0	0.0
salm5rep9_kr2bac_c0.25	Round3	kr2bac	c0.25	5	4	1	0	0	4	0	1	1	0	0.8	0.2	1.0	1.0
salm5rep16_kr2bac_c0.25	Round3	kr2bac	c0.25	5	5	0	0	0	5	0	1	1	0	1.0	0.2	1.0	1.0
salm5rep19_kr2bac_c0.25	Round3	kr2bac	c0.25	5	5	0	0	0	5	0	1	1	0	1.0	0.2	1.0	1.0
salm50rep1_kr2bac_c0.25	Round3	kr2bac	c0.25	50	47	3	0	0	47	0	8	8	0	0.94	0.16	1.0	1.0
salm10rep17_kr2bac_c0.25	Round3	kr2bac	c0.25	10	10	0	0	0	10	0	0	0	0	1.0	0.0	1.0	0.0
salm50rep10_kr2bac_c0.25	Round3	kr2bac	c0.25	50	46	4	0	0	46	0	0	0	0	0.92	0.0	1.0	0.0
salm10rep5_kr2bac_c0.25	Round3	kr2bac	c0.25	10	10	0	0	0	10	0	1	1	0	1.0	0.1	1.0	1.0
